run,event,n.charged,n.muon,p.charged,e.ecal,e.hcal,e.lep,cos.t
5227,523,51,0,77.3,42.1,3,45.57,0.8296
5227,672,52,0,54.8,39.7,14.8,45.57,0.9438
5227,832,28,1,50,55.7,11.9,45.57,0.9594
5227,917,24,0,32,46.7,8.3,45.57,0.9168
5227,989,36,1,53.3,33.2,16.3,45.57,0.9107
5227,1140,28,2,13.9,58.4,5.5,45.57,0.9201
5227,1203,39,0,40.4,58.8,0.6,45.57,0.8842
5227,1288,21,0,73.3,50.8,203.9,45.57,0.9866
5227,1455,30,0,3.2,37.2,3.3,45.57,0.8879
5227,1586,22,0,293.1,52.9,15.7,45.57,0.9862
5227,1675,34,0,39.8,50.7,13.5,45.57,0.9033
5227,1837,39,1,72,41.4,25,45.57,0.6965
5227,1997,20,1,66.2,23.8,15.9,45.57,0.9725
5227,2109,25,1,49.7,37.8,48.7,45.57,0.9741
5227,2205,25,1,53.8,53.2,17.7,45.57,0.9819
5227,2320,53,0,13.2,51.5,6,45.57,0.9102
5227,2474,30,3,60.2,37.8,84.6,45.57,0.9684
5227,2658,37,0,18.9,58.8,9,45.57,0.9728
5227,2754,23,1,60.9,53.4,28.4,45.57,0.9021
5227,2884,27,1,48.7,57,9.5,45.57,0.9111
5227,2995,9,1,59.8,55.6,23.3,45.57,0.9892
5227,3184,31,2,58.6,43.9,29.3,45.57,0.9574
5227,3290,19,0,45.3,73.2,3.4,45.57,0.9393
5227,3473,33,1,51.3,48.1,35.5,45.57,0.8016
5227,3656,45,0,21.9,55.6,6.5,45.57,0.8614
5227,3762,27,2,52.9,59.7,22.1,45.57,0.9616
5227,3895,27,1,22.5,33.4,41.2,45.57,0.9315
5227,4046,41,0,NA,52.3,28.8,45.57,0.9967
5227,4471,24,2,67.6,50,22.8,45.57,0.9621
5227,4552,24,0,50.9,42.9,12.5,45.57,0.9823
5227,4716,40,0,52.6,57.1,2.4,45.57,0.9575
5227,4851,28,0,79.1,37.4,11.7,45.57,0.9352
5227,5042,39,0,40.7,39.4,28.9,45.57,0.925
5227,5154,60,0,60.5,44.1,28.3,45.57,0.9535
5227,5344,21,1,39.3,39.5,20.5,45.57,0.9651
5227,5420,35,0,68.2,57.9,35,45.57,0.9717
5227,5606,33,1,31.7,48.7,22.6,45.57,0.9446
5227,5730,24,0,66.7,54.7,12.2,45.57,0.9681
5227,5959,30,0,43.9,66.8,13.5,45.57,0.9754
5227,6152,64,0,29,68.6,0,45.57,0.9348
5227,6281,48,1,62.8,53.2,22.3,45.57,0.9392
5227,6431,22,0,69.2,32.5,36.4,45.57,0.9832
5227,6565,50,0,74.5,50.5,4.4,45.57,0.9242
5227,6749,24,0,30.4,66.8,8.4,45.57,0.9184
5227,6853,21,0,50.9,38.6,10,45.57,0.9709
5227,7218,34,0,57.8,50.1,19.4,45.57,0.9133
5227,7343,36,0,43.5,40.8,15.7,45.57,0.9839
5227,7524,14,2,30.3,24.6,58.9,45.57,0.9736
5227,7666,19,0,64.4,57.9,27.2,45.57,0.9693
5227,7808,18,0,39.8,46.9,33.9,45.57,0.9665
