"h","e","m","t","min","max","mid"
1,24,4,15,0,2,1
4,2,8,8,2,4,1
3,0,8,6,4,6,1
1,1,9,2,6,8,1
5,0,8,3,8,10,1
2,0,3,4,10,12,1
4,1,3,1,12,14,1
4,0,1,0,14,16,1
2,0,0,2,16,18,1
1,0,1,0,18,20,1
1,0,0,0,20,22,1
5,0,0,1,22,24,1
1,0,0,0,24,26,1
1,0,0,0,26,28,1
5,0,0,0,28,30,1
0,0,1,0,30,32,1
1,0,0,1,32,34,1
2,0,0,0,34,36,1
1,0,0,1,36,38,1
0,0,0,1,38,40,1
1,0,0,0,40,42,1
0,0,0,0,42,44,1
0,0,1,0,44,46,1
0,0,0,0,46,48,1
1,0,0,0,48,50,1
0,0,0,0,50,52,1
0,0,0,0,52,54,1
0,0,0,0,54,56,1
0,0,0,0,56,58,1
1,0,0,0,58,60,1
0,0,0,0,60,62,1
0,0,0,0,62,64,1
0,0,0,0,64,66,1
0,0,0,0,66,68,1
0,0,0,0,68,70,1
0,0,0,0,70,72,1
0,0,0,0,72,74,1
0,0,0,0,74,76,1
0,0,0,0,76,78,1
0,0,0,0,78,80,1
0,0,0,0,80,82,1
0,0,0,0,82,84,1
1,0,0,0,84,86,1
