"h","e","m","t","min","max","mid"
45,31,0,40,0,2,1
3,0,0,2,2,4,1
1,0,0,2,4,6,1
0,1,0,1,6,8,1
0,0,4,0,8,10,1
0,0,0,0,10,12,1
0,0,2,0,12,14,1
0,0,1,0,14,16,1
0,0,2,0,16,18,1
0,0,0,0,18,20,1
0,0,0,0,20,22,1
0,0,3,1,22,24,1
0,0,1,0,24,26,1
0,0,2,1,26,28,1
0,0,2,0,28,30,1
0,0,0,0,30,32,1
0,0,2,0,32,34,1
0,0,0,0,34,36,1
0,0,1,0,36,38,1
0,0,2,0,38,40,1
0,0,1,0,40,42,1
0,0,1,0,42,44,1
0,0,1,0,44,46,1
0,0,2,0,46,48,1
0,0,6,0,48,50,1
0,0,1,0,50,52,1
0,0,2,0,52,54,1
0,0,3,0,54,56,1
0,0,2,0,56,58,1
0,0,2,0,58,60,1
0,0,2,0,60,62,1
0,0,0,0,62,64,1
0,0,0,0,64,66,1
0,0,0,0,66,68,1
0,0,1,0,68,70,1
0,0,1,0,70,72,1
0,0,2,0,72,74,1
